

35 	Mainz 	 Rhineland-Palatinate 	217,556 	209,779 	+3.71% 	Increase 3 	97.7 km2
37.7 sq mi 	2,226/km2
5,770/sq mi 	50°0′N 8°16′E
36 	 Lübeck 	 Schleswig-Holstein 	216,277 	216,253 	+0.01% 	Decrease 1 	214.1 km2
82.7 sq mi 	1,010/km2
2,600/sq mi 	53°52′N 10°41′E
37 	 Erfurt 	 Thuringia 	213,227 	210,118 	+1.48% 	Steady 0 	269.2 km2
103.9 sq mi 	792/km2
2,050/sq mi 	50°59′N 11°2′E
38 	 Oberhausen 	 North Rhine-Westphalia 	208,752 	210,934 	−1.03% 	Decrease 2 	77.0 km2
29.7 sq mi 	2,710/km2
7,000/sq mi 	51°28′N 6°51′E
39 	 Rostock 	 Mecklenburg-Vorpommern 	208,400 	206,011 	+1.16% 	Steady 0 	181.4 km2
70.0 sq mi 	1,149/km2
2,980/sq mi 	54°5′N 12°8′E
40 	 Kassel 	 Hesse 	200,406 	197,984 	+1.22% 	Steady 0 	107.0 km2
41.3 sq mi 	1,873/km2
4,850/sq mi 	51°19′N 9°30′E
41 	 Hagen 	 North Rhine-Westphalia 	188,713 	189,044 	−0.18% 	Steady 0 	160.4 km2
61.9 sq mi 	1,177/km2
3,050/sq mi 	51°22′N 7°29′E
42 	 Potsdam 	 Brandenburg 	183,154 	167,745 	+9.19% 	Increase 3 	187.3 km2
72.3 sq mi 	978/km2
2,530/sq mi 	52°24′N 13°4′E
43 	Saarbrücken 	 Saarland 	179,634 	178,151 	+0.83% 	Steady 0 	167.1 km2
64.5 sq mi 	1,075/km2
2,780/sq mi 	49°14′N 7°0′E
44 	 Hamm 	 North Rhine-Westphalia 	179,238 	179,397 	−0.09% 	Decrease 2 	226.3 km2
87.4 sq mi 	792/km2
2,050/sq mi 	51°41′N 7°49′E
45 	Ludwigshafen am Rhein 	 Rhineland-Palatinate 	172,145 	164,718 	+4.51% 	Increase 1 	77.7 km2
30.0 sq mi 	2,216/km2
5,740/sq mi 	49°29′N 8°26′E
46 	Mülheim an der Ruhr 	 North Rhine-Westphalia 	170,739 	169,278 	+0.86% 	Decrease 2 	91.3 km2
35.3 sq mi 	1,871/km2
4,850/sq mi 	51°26′N 6°53′E
47 	Oldenburg 	 Lower Saxony 	170,389 	163,830 	+4.00% 	Steady 0 	103.0 km2
39.8 sq mi 	1,655/km2
4,290/sq mi 	53°8′N 8°13′E
48 	Osnabrück 	 Lower Saxony 	165,034 	162,403 	+1.62% 	Increase 1 	119.8 km2
46.3 sq mi 	1,378/km2
3,570/sq mi 	52°17′N 8°3′E
49 	 Leverkusen 	 North Rhine-Westphalia 	163,851 	163,487 	+0.22% 	Decrease 1 	78.9 km2
30.5 sq mi 	2,078/km2
5,380/sq mi 	51°2′N 6°59′E
50 	Darmstadt 	 Hesse 	159,631 	155,353 	+2.75% 	Increase 4 	122.2 km2
47.2 sq mi 	1,306/km2
3,380/sq mi 	49°52′N 8°39′E
51 	Heidelberg 	 Baden-Württemberg 	159,245 	156,267 	+1.91% 	Steady 0 	108.8 km2
42.0 sq mi 	1,463/km2
3,790/sq mi 	49°25′N 8°43′E
52 	 Solingen 	 North Rhine-Westphalia 	158,957 	158,726 	+0.15% 	Decrease 2 	89.5 km2
34.6 sq mi 	1,777/km2
4,600/sq mi 	51°10′N 7°5′E
53 	Herne 	 North Rhine-Westphalia 	156,621 	155,851 	+0.49% 	Decrease 1 	51.4 km2
19.8 sq mi 	3,047/km2
7,890/sq mi 	51°33′N 7°13′E
54 	Regensburg 	 Bavaria 	153,542 	145,465 	+5.55% 	Increase 2 	80.8 km2
31.2 sq mi 	1,901/km2
4,920/sq mi 	49°1′N 12°5′E
55 	Neuss 	 North Rhine-Westphalia 	152,731 	155,414 	−1.73% 	Increase 2 	99.5 km2
38.4 sq mi 	1,535/km2
3,980/sq mi 	51°12′N 6°42′E
56 	 Paderborn 	 North Rhine-Westphalia 	152,531 	148,126 	+2.97% 	Decrease 1 	179.4 km2
69.3 sq mi 	850/km2
2,200/sq mi 	51°43′N 8°46′E
57 	 Ingolstadt 	 Bavaria 	138,016 	132,438 	+4.21% 	Steady 0 	133.4 km2
51.5 sq mi 	1,035/km2
2,680/sq mi 	48°46′N 11°26′E
58 	Offenbach am Main 	 Hesse 	131,295 	123,734 	+6.11% 	Increase 3 	44.9 km2
17.3 sq mi 	2,924/km2
7,570/sq mi 	50°6′N 8°48′E
59 	Fürth 	 Bavaria 	129,122 	124,171 	+3.99% 	Steady 0 	63.4 km2
